Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Views,Area,Road,Road Width,Road Type,Amenities,Face
"House For Sale : House For Sale In Kageshwari-Manohara, Kathmandu","Khahare-Gothatar near mahantar chowk, Kageshwari-Manohara, Kathmandu",Kathmandu,26000000.0,5,3,3.0,1,396,4 Aana,26 Feet / Blacktopped,26 Feet , Blacktopped,"['Wifi', 'Water Tank', 'Water Supply', 'Balcony', 'Water Well', 'TV Cable']",West
"Office Space For Sale In Thamel, Kathmandu","Galkopakha, Thamel, Kathmandu",Kathmandu,100.0,0,0,3.0,0,400,1.8 Ropani,20 Feet,20 Feet,,"['Wifi', 'Water Supply', 'Water Tank']",East
"Chitwanma Sasto Ghaderi : Land For Sale In Chitrawan, Chitwan","Bharatpur 14 chitwan, Chitrawan, Chitwan",Chitwan,3800000.0,0,0,2.5,0,595,20 Dhur,9 Meter / Blacktopped,9 Meter , Blacktopped,"['Wifi', 'Water Supply', 'TV Cable']",East
"Business For Sale In Kupondole, Lalitpur","Kupondole, Kupondole, Lalitpur",Lalitpur,700000.0,0,0,2.0,0,244,600 Sq. Feet,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Wifi', 'Water Supply', 'Modular Kitchen']",West
"House For Sale In Chakupat, Lalitpur","dathulan road house, Chakupat, Lalitpur",Lalitpur,8700000.0,0,2,3.0,0,555,1 Aana,1 Feet / Concrete,1 Feet , Concrete,"['Wifi', 'TV Cable', 'Store Room']",East
"House For Sale In Kalimati, Kathmandu","Nearby, Police Station, Kalimati, Kathmandu",Kathmandu,25000000.0,0,0,2.0,0,240,0-1-3-0 Aana,9 Feet / Blacktopped,9 Feet , Blacktopped,"['Wifi', 'Drainage', 'Water Tank', 'Water Well']",East
"House For Rent In Tripureshwor, Kathmandu","Tripureshwor, Tripureshwor, Kathmandu",Kathmandu,1000000.0,0,0,5.0,0,296,8 Aana,20 Feet,20 Feet,,"['Wifi', 'Drainage', 'Water Supply']",South East
"Furnished Office With MOE Consultancy License : Office Space For Sale In Chabahil, Kathmandu","Kumari building, Chabahil, Kathmandu",Kathmandu,2000000.0,0,0,2.0,0,1800,1400 Sq. Feet,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Wifi', 'Drainage', 'Water Supply', 'Water Well', 'CCTV', 'Electricity Backup', 'Intercom', 'Internet', 'Lift', 'Parking', 'Security Staff']",East
"Office Space For Rent In Radhe Radhe, Bhaktapur","Nearby Bhatbhateni Super market, Radhe Radhe, Bhaktapur",Bhaktapur,5000000.0,3,2,3.5,2,1100,2500 Sq. Feet,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",North
"House For Sale In Ekantakuna, Lalitpur","Ekantakuna, Ekantakuna, Lalitpur",Lalitpur,27000000.0,5,3,3.0,0,418,0-3-1-2 Aana,22 Feet / Blacktopped,22 Feet , Blacktopped,"['Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",South East
"Land For Sale In Imadol, Lalitpur","NayaBasti, Imadol, Lalitpur",Lalitpur,2800000.0,0,0,2.5,0,778,0-3-3-0 Aana,10 Feet / Blacktopped,10 Feet , Blacktopped,['Water Well'],South West
"Land For Sale In Kalanki, Kathmandu","Maitrinagar, Kalanki, Kathmandu",Kathmandu,3500000.0,0,0,4.0,0,2300,5 Aana,14 Feet / Gravelled,14 Feet , Gravelled,['Water Well'],North West
"Devi Bhandari : House For Sale In Samakhusi, Kathmandu","samakhushi, Samakhusi, Kathmandu",Kathmandu,130000000000000.0,2,1,1.0,1,350,0-2 -0-2 Aana,10 Feet / Soil Stabilized,10 Feet , Soil Stabilized,"['Water Well', 'Water Tank', 'Water Supply', 'Drainage']",South
